C-Channel,,am-0202,6
"1614ZZ, Wheel bearings","Double Shielded, ID: 0.375”, OD: 1.125”, Width:
0.375”",am-0209,8
"2010 FIRST wheel, plastic tread","8” Diameter, “slick”",am-0494,2
"2010 FIRST wheel, rubber tread","8” Diameter, “stick”",am-0420,2
Battery Plug,,AM-0122,4
Extrusion cover,1/Toughbox x 2 Toughboxes/FRC kit = 2 total,am-0260,2
Wheel Bracket,,am-0450,4
Mount Plate,,am-0155,2
Shaft Plate,,am-0261,2
Battery (ROOKIE),"12 volt, 18 AH, Non-Spillable",NP18-12,2
Battery (VETERAN),"12 volt, 18 AH, Non-Spillable",NP18-12,1
20Amp circuit breaker,auto-reset,VB3-A20-F57,5
30Amp circuit breaker,auto-reset,VB3-A30-F57,2
40Amp circuit breaker,auto-reset,MX5-A40,4
"Breakout mounting hardware, 4-40 x 0.75”","These are wrapped up with the Analog
Breakout Boards!",92196A113,6
Autodesk packet,Flyer,,1
IEC Rotary Limit Switch,,AAP2T51Z11,2
Terminal blocks,12 pole w/ wire protector,BM-M092CS,2
FirstTouch I/O Module,,CY8CKIT-003,1
"Wire, 10AWG, Black",10’ length,,1
"Wire, 10AWG, Red",10' length,,1
"Wire, 14AWG, Black",10' length,,1
"Wire, 14AWG, Red",10' length,,1
Analog Breakout,,A003266 / am0267,1
Digital SideCar,,A003333 / am-0266,1
Power Distribution Board,"8 40A outputs, 12 20/30A outputs, 5V, 12V, &
24V regulated outputs",A003206 / am-0265,1
Compact Fan (Large),12 Vdc,4212,2
Compact fan (mini),12 Vdc,412,6
E-Stop Button,,am-0515,1
Terminal Lug (bag of 8),"6-14 ga solderless lug, mechanical",KPA4CUNPL,1
Terminal Lugs (bag of 8),"6-14 ga solderless lug, compression, copper",YAZV6CTC14FX,1
"Tie wraps, 4”","UNIRAP, 4”, 100 ct",CT18075C,1
"Tie wraps, 8”","UNIRAP, 8”, 100 ct",CT50175C,1
Pnuematic tubing,(1/4 OD x 0.160 ID) x 50’ length,1J-151-48P-FW,1
Gates free parts notice,Flyer,,1
Teflon tape,"roll, 1/4"" x 520'",,1
Classmate PC,"16G Flash, Clamshell",NBC2GO89A,1
Latex Tubing,0.125” ID x 0.094” thickness x 5’ L,,1
Speed Controller (Jaguar),Stellaris Brushed DC motor,MDL-BDC,2
Blue Tote,,,1
FRC Software Bundle,"LabVIEW for FRC, WindRiver",,1
2-wire jumper cable,24”,3203,5
Scholarship Packet,2 brochures & 2 posters,,1
Servo Y-splitter cable,12”,"788 (modified, plastic covers removed)",2
PTC Sticker,http://www.ptc.com/go/frcregistration,,1
RC Extension cable,"36”, 22AWG wire, male/female","RC-218FJ36 (mod’d, keys & covers removed)",8
Java Postcard,Flyer,,1
USB 4-port hub,,ACH63US,1
Circuit Breaker,"120A, Automotive style",CB3-SM-120,1
Breadboard,2.14” x 6.5”,TW-E40-1020,1
Gasket Kit (for cRIO),,,1
4-pin encoder connector,26AWG wire,CA-MIC4-W4-NC-1,2
Encoder - Codewheel,360 CPR,E4P-360-250-S4149,2
Encoder - Cover,360 CPR,E4P-360-250-S4149,2
Encoder - Installation Tool,360 CPR,E4P-360-250-S4149,1
Encoder -Base,360 CPR,E4P-360-250-S4149,2
"standoff, male/female (for DS and DSC)","4-40, 0.187’ long",219-1048,2
"Magnetic encoder, board",,AS5030,2
"Magnetic encoder, magnet",,,2
DB37 Extension Cable,"3ft, beige, Male/Female",n02688,1
"Power connector, Wago",2-pole,734-102,4
Sensor panel,accelerometer/gyro sensor boards,,1
Jumper,"female, 2-pin shunt, black or white",68786-102LF,4
FisherPrice assy hardware,"12VDC w/ 16 tooth pinion, -9015 motor",,4
Microswitch,,V7-2B17D8-048,2
"Power connector, cRio","female, 4 poles",CTF040V8,2
Master Link for Chain,#35 Link,,4
One-pitch link,#35 Link,,4
"Quick Disconnect, female","10-12ga, .250d, FASTON",4-520448-2,20
"Quick Disconnect, female","16-14ga, .250d, FASTON",3-520408-2,10
"Quick Disconnect, male","12-10ga, .250d",4-521098-2,10
DryLin N Linear Guide System,,NK02-40-2-610,1
DryLin S Aluminum Shaft,24” Hard Anodized,AWI-10,2
Energy Chain Cable Carrier,1 meter,05-4-038-0,1
Energy Chain Mounting Bracket Set,,050-20-12,1
iglide bearing,,JSI-1012-08,4
iglide bearing,,JFI-1012-08,4
iglide bearing,,MTI-10,4
iglide bearing,,MCI-06-02,4
igubal Flange Bearing,,EFOI-10,2
igubal Rod End Bearing,,EBRI-10R,2
Quick-Disconnect Battery Connector,"#6 wire pair, red & black, 12” tail",6331G1,4
Accumulator,"Volume tank, 2"" bore by 6"" long",AVT-32-16,2
"Wire, 6AWG, Black, 5’",,M3391-101,1
"Wire, 6AWG, Red, 5’",,,1
Window Motor - Left,12V DC,262100-3040,2
Window Motor - Right,12V DC,262100-3030,2
FisherPrice Gearbox,"12VDC w/ 16 tooth pinion, -9015 motor",,2
FisherPrice Motor,"12VDC w/ 19 tooth pinion, -9015 motor",,2
Relay Module (Spike),"12V, 20A Max",SPIKE-RELAY-H,1
Lead Screw w/ nut,,BZ8M16 X 15”,1
Serial Cable,#4 screw size,,1
"Cable Assembly, Ethernet crossover","5ft, pink",,1
Mabuchi motor,,RS555SH-2670,1
Mabuchi motor,,RS555VC-3754,1
"Chain, #35, 20ft length","#35, 20’ length",,1
Pressure Switch,"Opens 115psi, Closes 95psi",SM-2B-115R/443,1
Main Regulator Mounting Kit,Bracket and Nut,18-025-003,1
Pressure Gauge,"1/8"" NPT, 0 - 160 psi",18-013-212,1
Relief Valve,120 psi relief valve,16-004-011,1
"Coupler, Denso motor","black, injection molded plastic, 6 tooth",Denso-6,4
Restoration Key (USB),"4GB SanDisk Cruzer preloaded w/ 2010
Classmate image",SDCZ6-4096-A11,1
"Cable Assembly, Ethernet","2ft, gray",219241-2,1
"Wire, 18AWG, Black",5’ length,,1
"Wire, 18AWG, Red",5’ length,,1
2.5” CIM Motor,"12V DC, 2.5” diameter",FR801-001,2
Red Tote,,,1
Axis Case,,MI-00016,1
Base,,MI-00015,1
Pan Plate,,MI-00013,1
Servo Brace,,MI-00014,1
Analog Input Module,"8 analog inputs, ±10 V input range, 500 kS/s
aggregate sampling rate, 12-bit resolution",9201,2
compactRIO,,cRIO-FRC,1
Digital I/O Module,"32-channel digital I/O, 5 V/TTL, sinking/sourcing
digital I/O, 1000 Vrms transient isolation, ±30 V",9403,2
Digital Sourcing Module,"8-channel, 100 μs digital output, 6 to 30 V range,
sourcing digital output",9472,1
"Camera, Axis 206","206 color camera, MJPEG, 16MB RAM, 4MB
Flash, 4mm lens, F2.0",288635,1
Battery Charger,"12V, 6Amp automatic",SC-600A,1
DB37 Extension Cable,"3ft, beige, Male/Female",n02688,1
Analog Breakout,,A003266 / am-0267,1
Digital SideCar,,A003333 / am-0266,1
Solenoid Breakout,,A003265 / am-0268,1
CD - Basic Electronic Measurement,,,1
Digital Multimeter,,2100135D,1
Air Compressor,12VDC,405ADC38/12,1
Servo,"42 oz./in. peak torque, 0.19 sec./60°",HS-322HD,2
Servo,"42 oz./in. peak torque, 0.19 sec./60°",HS-322HD,1
Relay Module (Spike),"12V, 20A Max",SPIKE-RELAY-H,1
Speed Controller (Victor 884),VICTOR-884-12-12,FR-VIC884,1
"Radio, Driver Station",WRT160N,WRT160N,1
Speed Controller (Jaguar),Stellaris Brushed DC motor,MDL-BDC,2
NI Rookie packet,#4 screw size,,1
"Joystick, Attack 3","11 programmable buttons, USB, symmetrical
handle",963291-0403,2
"Radio, Robot","Dual-Band Wireless-N Gaming Adapter (includes
adapter, ethernet cable, etc)",WGA600N,1
"standoff, male/female (for DS and DSC)","4-40, 0.187’ long",219-1048,2
"Power connector, Wago",2-pole,734-102,2
"Nut, bracket assembly","4-40, keps",1137403,16
"Nut, camera pivot","8-32, nylock",1170856,1
"Screw, camera pivot","8-32, 3/8”",1172396,1
"Screw, hex, servo mount","4-40, 1/2”, low profile",n0170662,4
"Screw, horn/bracket assembly","4-40, 3/8”",1172482,8
"Screw, servo mounting","4-40, 3/4”",1128667,4
Nylon spacer,1/4”,252805,4
spring lock washer,#4 screw size,91102A720,4
Double solenoid valve,24V DC solenoid double valve,VUVG-L10-B52-T-M5-1P3-566458,1
"Gloves, pair, Large","Leather Palm, Suede Cowhide, Cotton Back,
Straight Thumb, Elastic Wrist, Rubberized Cuff",2AL54,1
"Gloves, pair, Medium","Leather Palm, Suede Cowhide, Cotton Back,
Straight Thumb, Elastic Wrist, Rubberized Cuff",2BC74,1
Secondary Regulator,,101-3002-1,1
Secondary Regulator Bracket,Mounting bracket,13536,1
"Main Regulator, adjustable",,R07-100-RNEA,1
Brass bag,,PKT12326,1
Panel signal device,12V Light,855PB-B12ME522,1
Altium Designer,"The 12-month license from Altium Designer, is
available at http://www.altium.com/frc2010/",,1
Autodesk Software Tools,www.autodesk.com/first,,1
Bimba Cylinders - custom order,"The order form for the cylinders/rotary
actuators is at www.bimba.com.",,3
Gates belting - custom order,"Gates will provide up to 3 belts per team. The
order form is available at www.gates.com/FIRST",,1
Gates sprockets - custom order,"Gates will provide up to 4 sprockets & 1 idler
assembly. Order online at www.gates.com/FIRST",,1
Mathcad,http://www.ptc.com/go/frcregistration,,1
Pro/ENGINEER,"http://www.ptc.com/go/frcregistration
(for creating CAD models)",,1
ProductView,"http://www.ptc.com/go/frcregistrationfor
(visualizing your robot design)",,1
Windchill,"http://www.ptc.com/go/frcregistration
(for team collaboration)",,1
